id|full_url|type_stake|type_sport|name_liga|player_1|player_2|P1|X|P2|time_update
1642749328|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Адриан Маннарино|Аслан Карацев|4.04|0|1.28|21-01-2022-12:11
1642749329|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Карен Хачанов|Рафаэль Надаль|5.35|0|1.205|21-01-2022-12:11
1642749330|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Аманда Анисимова|Наоми Осака|3.36|0|1.392|21-01-2022-12:11
1642749331|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Эшли Барти|Камила Джорджи|1.085|0|10.5|21-01-2022-12:11
1642749332|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Doubles|Гранольерс/Себальос|Василевский/О'Мара|1.175|0|4.76|21-01-2022-12:11
1642749333|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Doubles|Мектич/Павич|Киргиос/Коккинакис|1.43|0|2.77|21-01-2022-12:11
1642749334|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Бенуа Пэр|Стефанос Циципас|9.0|0|1.09|21-01-2022-12:11
1642749335|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Андрей Рублёв|Марин Чилич|1.32|0|3.7|21-01-2022-12:11
1642749336|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Ботик Ван Де Зандшульп|Даниил Медведев|23.0|0|1.028|21-01-2022-12:11
1642749337|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Дэниэл Эванс|Феликс Оже-Альясим|1.96|0|1.92|21-01-2022-12:11
1642749338|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Кристофер О'Коннел|Максим Кресси|2.664|0|1.53|21-01-2022-12:11
1642749339|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Миомир Кечманович|Гаэль Монфис|4.14|0|1.27|21-01-2022-12:11
1642749340|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Роберто Баутиста-Агут|Тэйлор Гэрри Фритц|1.89|0|1.99|21-01-2022-12:11
1642749341|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Таро Даниэль|Янник Синнер|11.0|0|1.07|21-01-2022-12:11
1642749342|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Барбора Крейчикова|Виктория Азаренко|1.83|0|1.83|21-01-2022-12:11
1642749343|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Джессика Пегула|Мария Саккари|2.035|0|1.66|21-01-2022-12:11
1642749344|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Ига Швёнтек|Дарья Касаткина|1.39|0|3.24|21-01-2022-12:11
1642749345|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Кайя Канепи|Мэддисон Инглис|1.32|0|3.7|21-01-2022-12:11
1642749346|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Клара Таусон|Даниэль Роуз Коллинз|2.15|0|1.77|21-01-2022-12:11
1642749347|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Маркета Вондроусова|Арина Соболенко|1.7|0|2.268|21-01-2022-12:11
1642749348|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Мэдисон Киз|Паула Бадоса Хиберт|2.048|0|1.652|21-01-2022-12:11
1642749349|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Симона Халеп|Данка Ковинич|1.056|0|12.5|21-01-2022-12:11
1642749350|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Тамара Зиданшек|Ализе Корне|2.15|0|1.77|21-01-2022-12:11
1642749351|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Элиза Мертенс|Шуай Чжан|1.29|0|3.94|21-01-2022-12:11
1642749352|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open|Пабло Андухар|Алекс Де Минаур|11.0|0|1.07|21-01-2022-12:11
1642749353|https://melbet.ru/line/tennis/|LineFeed|Tennis|Australian Open. Women|Сорана Кырстя|Анастасия Павлюченкова|3.13|0|1.41|21-01-2022-12:11
1642749354|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya. Women|Иоана Звонару|Илей Йорук|2.064|0|1.725|21-01-2022-12:11
1642749355|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya|Джи Сунг Нам|Давиде Галоппини|1.755|0|2.068|21-01-2022-12:11
1642749356|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya|Стефан Палоси|Чезар Крецу|1.68|0|2.102|21-01-2022-12:11
1642749357|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya|Хорхе Мартинес Мартинес|Бен Патаэль|2.168|0|1.696|21-01-2022-12:11
1642749358|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya. Women|Михаела Цонева|Валерия Оляновская|2.102|0|1.74|21-01-2022-12:11
1642749359|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Antalya. Women|Ингрид Войчинакова|Харрикейн Тайра Блэк|13.5|0|1.025|21-01-2022-12:11
1642749360|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Kazan|Евгений Филиппов|Леонид Шейнгезикхт|1.55|0|2.464|21-01-2022-12:11
1642749361|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Kazan|Мартин Борисюк|Алибек Качмазов|4.92|0|1.18|21-01-2022-12:11
1642749362|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Kazan. Women|Алиса Куммел|Анастасия Апалихина|1.62|0|2.312|21-01-2022-12:11
1642749363|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Kazan. Women|Елена Байрашевская|Ангелина Габуева|5.65|0|1.144|21-01-2022-12:11
1642749364|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Cairo|Гергей Мадараж|Ю Хсиоу Хсу|2.128|0|1.72|21-01-2022-12:11
1642749365|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Cairo|Давид Пихлер|Эдоардо Лаваньо|2.985|0|1.398|21-01-2022-12:11
1642749366|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Cairo|Риккардо Бонадио|Андрей Чепелев|1.36|0|3.17|21-01-2022-12:11
1642749367|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Cairo. Women|Флави Бругноне|Сапфо Сакеллариди|9.6|0|1.056|21-01-2022-12:11
1642749368|https://melbet.ru/line/tennis/|LineFeed|Tennis|UTR Pro Tennis Series. Barcelona. Women|Настя Колар|Даник Хаверманс|1.082|0|7.2|21-01-2022-12:11
1642749369|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Cairo. Women|Адриенн Надь|Анастасия Золотарёва|2.684|0|1.388|21-01-2022-12:11
1642749370|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir 2|Гарольд Майо|Моез Эчаргуи|1.464|0|2.716|21-01-2022-12:11
1642749371|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir 2|Титуан Дроге|Клемент Табур|1.592|0|2.365|21-01-2022-12:11
1642749372|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir. Women|Кэтрин Себов|Изабелла Шиникова|2.228|0|1.664|21-01-2022-12:11
1642749373|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir. Women|Майя Хвалинска|Нигина Абдураимова|1.475|0|2.688|21-01-2022-12:11
1642749375|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir|Джованни Орадини|Рафаэл Коллигнон|1.92|0|1.88|21-01-2022-12:11
1642749376|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Monastir|Марко Бруньеротто|Хазем Нав|2.978|0|1.4|21-01-2022-12:11
1642749377|https://melbet.ru/line/tennis/|LineFeed|Tennis|ITF. Manacor. Women|Мартина Ди Джузеппе|Юстина Микульските|2.13|0|1.72|21-01-2022-12:11
