id|full_url|type_stake|type_sport|name_liga|player_1|player_2|P1|X|P2|time_update
1642750312|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Кольмин А.|Немашкало В.|2.48|0|1.49|21-01-2022-12:11
1642750313|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Конашков Илья|Никулин С.|1.86|0|1.86|21-01-2022-12:11
1642750314|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Чернов В.|Екжанов А.|1.86|0|1.86|21-01-2022-12:11
1642750315|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Гаврилов Юрий|Морозов Сергей|1.86|0|1.86|21-01-2022-12:11
1642750316|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Зирин А.|Духин М.|1.53|0|2.38|21-01-2022-12:11
1642750317|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Астреев Роман|Михайлов И.|3.84|0|1.23|21-01-2022-12:11
1642750318|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Лбов Ю.|Казаков А.|1.24|0|3.74|21-01-2022-12:11
1642750319|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Полетаев И.|Арутюнов Р.|1.53|0|2.38|21-01-2022-12:11
1642750320|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Екжанов А.|Астреев Роман|1.67|0|2.11|21-01-2022-12:11
1642750321|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Духин М.|Лбов Ю.|2.99|0|1.35|21-01-2022-12:11
1642750322|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Морозов Сергей|Полетаев И.|2.12|0|1.66|21-01-2022-12:11
1642750323|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Михайлов И.|Чернов В.|1.67|0|2.11|21-01-2022-12:11
1642750324|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Арутюнов Р.|Гаврилов Юрий|1.67|0|2.11|21-01-2022-12:11
1642750325|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Настольный теннис|Россия. Лига Про|Казаков А.|Зирин А.|2.01|0|1.74|21-01-2022-12:11
